Column,Column_Label,Column_Alias,Column_Dtype,Value_Range,Value_PreRepl,Is_Use
xchildtype_14_,子女14的血缘类型,kblood_14,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
xchildtype_15_,子女15的血缘类型,kblood_15,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
xchildtype_16_,子女16的血缘类型,kblood_16,Cat,"{0:'Both biological',1:'FamR biological',2:'Spouse biological',3:'Adopted/Foster',4:'Not our child'}","{""1 [FamilyR] and [Spouse]'s Own"":'Both biological', ""2 [FamilyR] or [Spouse]'s Adopted"":'Adopted/Foster', ""3 [FamilyR]'s Own"":'FamR biological', ""4 [Spouse]'s Own"":'Spouse biological', '5 Not my Child':'Not our child'}",True
zchildedu_1_,子女1在上轮的受教育程度(10分类),keduc_old_1,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
zchildedu_2_,子女2在上轮的受教育程度(10分类),keduc_old_2,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
zchildedu_3_,子女3在上轮的受教育程度(10分类),keduc_old_3,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
zchildedu_4_,子女4在上轮的受教育程度(10分类),keduc_old_4,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
zchildedu_5_,子女5在上轮的受教育程度(10分类),keduc_old_5,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
zchildedu_6_,子女6在上轮的受教育程度(10分类),keduc_old_6,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
zchildedu_7_,子女7在上轮的受教育程度(10分类),keduc_old_7,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
zchildedu_8_,子女8在上轮的受教育程度(10分类),keduc_old_8,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
zchildedu_9_,子女9在上轮的受教育程度(10分类),keduc_old_9,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
zchildedu_10_,子女10在上轮的受教育程度(10分类),keduc_old_10,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
zchildedu_11_,子女11在上轮的受教育程度(10分类),keduc_old_11,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
zchildedu_12_,子女12在上轮的受教育程度(10分类),keduc_old_12,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
zchildedu_13_,子女13在上轮的受教育程度(10分类),keduc_old_13,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
zchildedu_14_,子女14在上轮的受教育程度(10分类),keduc_old_14,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
cb052_w3_1_,"子女1本轮的受教育程度(10分类,新增)",keduc_new_1,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
cb052_w3_2_,"子女2本轮的受教育程度(10分类,新增)",keduc_new_2,Cat,"{0:'No formal education illiterate',1:'Did not finish primary school but capable of reading and/or writing',2:'Sishu',3:'Elementary school',4:'Middle school',5:'High school',6:'Vocational school',7:'Two/Three Year College/Associate degree',8:""Four Year College/Bachelor's degree"",9:'Post-graduated(Master/PhD)'}","{'1 No Formal Education(Illiterate)':'No formal education illiterate','2 Did not Finish Primary School':'Did not finish primary school but capable of reading and/or writing','3 Sishu/Home School':'Sishu','4 Elementary School':'Elementary school','5 Middle School':'Middle school','6 High School':'High school','7 Vocational School':'Vocational school','8 Two-/Three-Year College/Associate Degree':'Two/Three Year College/Associate degree',""9 Four-Year College/Bachelor's Degree"":""Four Year College/Bachelor's degree"", ""10 Post-graduate, Master's Degree"":'Post-graduated(Master/PhD)', '11 Post-graduate, Doctoral Degree/Ph.D':'Post-graduated(Master/PhD)'}",True
